"","Trade.Name","City","Reviews","Number_of_Reviews"
"4900","DINAS DELI","STATEN ISLAND",4.8,21
"4901","DING FENG WANG GROCERY","BROOKLYN",0,0
"4902","DINO MART","PORT JERVIS",4.2,26
"4903","DINORAS MEAT MARKET","STATEN ISLAND",4.8,10
"4904","DIOMAR GROCERY","RIDGEWOOD",4.4,26
"4905","DIORIOS SUPERMARKET","OLD FORGE",4.3,240
"4906","DIP POUR & DRIZZLE","FLUSHING",4.8,13
"4907","DIPALO FINE FOODS","NEW YORK",4.7,378
"4908","DIPAOLO BAKERY","ROCHESTER",4.5,41
"4909","DIPLOMAT CATERER","BRONX",0,0
"4910","DIPRIMAS MOBIL","FAIRPORT",4,27
"4911","DIRIENZO BROS BAKERY","BINGHAMTON",4.5,91
"4912","DISCOUNT BAZAAR","BRONX",0,0
"4913","DISCOUNT BEVERAGE CENTE","MILTON",4.2,11
"4914","DISCOUNT CORP AND 99 CE","BRONX",0,0
"4915","DISCOUNT CROTONA","BRONX",0,0
"4916","DISCOUNT DAIRY FARM GRO","BROOKLYN",3.7,3
"4917","DISCOUNT DELI MART & SM","NEWBURGH",4.1,36
"4918","DISCOUNT FOREVER INC","BRONX",0,0
"4919","DISCOUNT GROCERY","PEEKSKILL",0,0
"4920","DISCOUNT HALAL MEAT AND","LATHAM",0,0
"4921","DISCOUNT ISLAND","STATEN ISLAND",2.4,8
"4922","DISCOUNT MOON","NEW YORK",0,0
"4923","DISCOUNT NY","BROOKLYN",4,NA
"4924","DISCOUNT RETAIL FOOD","UTICA",0,0
"4925","DISHES AT HOME","NEW YORK",4,6
"4926","DISTEFANO MEAT MARKET","CAIRO",4.5,8
"4927","DITMARS CANDY & GROCERY","ASTORIA",5,8
"4928","DITMARS DELI GROCERY","ASTORIA",0,0
"4929","DITMAS DELI GROCERY","BROOKLYN",0,0
"4930","DIVAN BAKERY","BROOKLYN",4.7,109
"4931","DIVINE OLIVE THE","FARMINGDALE",5,7
"4932","DIVINITEA","CLIFTON PARK",4.8,22
"4933","DIVINO NINO BB DELI","BRONX",0,0
"4934","DIVISION AVE DAIRY MART","LEVITTOWN",4.7,28
"4935","DIVISION FOOD MARKET","BROOKLYN",0,0
"4936","DIVISION MARKETS","NORTH TONAWANDA",4.7,14
"4937","DIVISION MINI MARKET","BROOKLYN",5,2
"4938","DIVISION STREET MARKET","SYRACUSE",4.7,39
"4939","DIYA DELI&CONV","FLUSHING",0,0
"4940","DJM DELI & GROCERY","BRONX",5,2
"4941","DK FISH MARKET","BROOKLYN",3,2
"4942","DKJJ DELI FOOD","BRONX",4,8
"4943","DL DELI GROCERY","EAST ELMHURST",4.4,16
"4944","DMG DELI MINI MARKET","NEW YORK",3.6,5
"4945","DNIPRO EURO FOODS","LATHAM",4.6,109
"4946","DNISTER EURO FOOD","BINGHAMTON",4.8,54
"4947","DNY NATURAL LAND","BROOKLYN",4.6,36
"4948","DNZ","NIAGARA FALLS",0,0
"4949","DOGWOOD FRMS CNVNC STRE","FRANKLIN SQUARE",0,0
"4950","DOHENY OIL","BALLSTON SPA",0,0
"4951","DOLEHS SUPERMARKET","BROOKLYN",4.6,11
"4952","DOLGENCORP #10232","WALTON",0,0
"4953","DOLGENCORP OF NY","OSWEGO",4.2,134
"4954","DOLHOF TRUEVALUE","LYONS FALLS",4.4,14
"4955","DOLLAL GENERAL 8172","MEDINA",0,0
"4956","DOLLAR DEAL","BRONX",0,0
"4957","DOLLAR EXPO","BRONX",4.1,8
"4958","DOLLAR FOOD BASKET","BROOKLYN",0,0
"4959","DOLLAR GEM","SPRINGFIELD GARDEN",0,0
"4960","DOLLAR GEN #14943","CHAMPLAIN",0,0
"4961","DOLLAR GEN STORE #12999","SYRACUSE",0,0
"4962","DOLLAR GENERAL  # 19243","STATEN ISLAND",0,0
"4963","DOLLAR GENERAL  #16838","LANSING",0,0
"4964","DOLLAR GENERAL  #19227","LINDENHURST",4.2,188
"4965","DOLLAR GENERAL  8576","BURNT HILLS",3.9,98
"4966","DOLLAR GENERAL # 10153","NICHOLS",0,0
"4967","DOLLAR GENERAL # 12183","UTICA",3.7,106
"4968","DOLLAR GENERAL # 17684","HEUVELTON",0,0
"4969","DOLLAR GENERAL # 17932","DICKINSON CENTER",0,0
"4970","DOLLAR GENERAL # 18375","LOCKPORT",0,0
"4971","DOLLAR GENERAL # 19204","BRONX",0,0
"4972","DOLLAR GENERAL # 19205","BRONX",3.9,331
"4973","DOLLAR GENERAL # 19206","BRONX",3.9,561
"4974","DOLLAR GENERAL # 19211","BRONX",3.9,483
"4975","DOLLAR GENERAL # 19214","BROOKLYN",0,0
"4976","DOLLAR GENERAL # 19218","BROOKLYN",0,0
"4977","DOLLAR GENERAL # 19221","FAR ROCKAWAY",3.8,380
"4978","DOLLAR GENERAL # 19224","ROCHESTER",0,0
"4979","DOLLAR GENERAL # 19225","JAMAICA",0,0
"4980","DOLLAR GENERAL # 19226","JOHNSTOWN",0,0
"4981","DOLLAR GENERAL # 19228","SYRACUSE",0,0
"4982","DOLLAR GENERAL # 19232","JAMAICA",0,0
"4983","DOLLAR GENERAL # 19237","ROCHESTER",0,0
"4984","DOLLAR GENERAL # 19239","SARANAC LAKE",0,0
"4985","DOLLAR GENERAL # 19242","STATEN ISLAND",0,0
"4986","DOLLAR GENERAL # 19244","SYRACUSE",0,0
"4987","DOLLAR GENERAL # 7505","BATH",0,0
"4988","DOLLAR GENERAL # 7698","KINGSTON",0,0
"4989","DOLLAR GENERAL # 9394","MAYVILLE",0,0
"4990","DOLLAR GENERAL #08494","ENDWELL",4.1,288
"4991","DOLLAR GENERAL #10064","TRUMANSBURG",4,134
"4992","DOLLAR GENERAL #10071","SODUS",4,200
"4993","DOLLAR GENERAL #10079","HONEOYE",4.1,93
"4994","DOLLAR GENERAL #10141","MAINE",0,0
"4995","DOLLAR GENERAL #10186","HORNELL",0,0
"4996","DOLLAR GENERAL #10237","GLOVERSVILLE",0,0
"4997","DOLLAR GENERAL #10301","DUNDEE",0,0
"4998","DOLLAR GENERAL #10325","LIVERPOOL",0,0
"4999","DOLLAR GENERAL #10345","PERU",0,0
"5000","DOLLAR GENERAL #10405","ATTICA",0,0
"5001","DOLLAR GENERAL #10433","CHEEKTOWAGA",0,0
"5002","DOLLAR GENERAL #10547","BLASDELL",3.9,282
"5003","DOLLAR GENERAL #10640","SANDY CREEK",0,0
"5004","DOLLAR GENERAL #10652","ONEONTA",4,186
"5005","DOLLAR GENERAL #10656","GOVERNEUR",4.2,161
"5006","DOLLAR GENERAL #10705","HORSEHEADS",4.2,195
"5007","DOLLAR GENERAL #10752","GLOVERSVILLE",0,0
"5008","DOLLAR GENERAL #10820","ELMIRA",0,0
"5009","DOLLAR GENERAL #10892","PORT HENRY",3.8,102
"5010","DOLLAR GENERAL #10927","ROCHESTER",0,0
"5011","DOLLAR GENERAL #10942","RICHFIELD SPRINGS",4,124
"5012","DOLLAR GENERAL #10970","SCHROON LAKE",4.4,118
"5013","DOLLAR GENERAL #10980","WHITEHALL",0,0
"5014","DOLLAR GENERAL #11102","DOLGEVILLE",4.1,134
"5015","DOLLAR GENERAL #11107","MANCHESTER",0,0
"5016","DOLLAR GENERAL #11111","WATERVILLE",0,0
"5017","DOLLAR GENERAL #11148","CLYDE",0,0
"5018","DOLLAR GENERAL #11150","LOWVILLE",4.3,108
"5019","DOLLAR GENERAL #11151","OXFORD",0,0
"5020","DOLLAR GENERAL #11152","HANNIBAL",0,0
"5021","DOLLAR GENERAL #11177","MARATHON",0,0
"5022","DOLLAR GENERAL #11195","WELLSBURG",0,0
"5023","DOLLAR GENERAL #11222","CHAUMONT",0,0
"5024","DOLLAR GENERAL #11550","LYONS FALLS",4.1,111
"5025","DOLLAR GENERAL #11658","CATTARAUGUS",4.2,141
"5026","DOLLAR GENERAL #11789","MARGARETVILLE",3.9,125
"5027","DOLLAR GENERAL #12050","PORT EWEN",3.9,183
"5028","DOLLAR GENERAL #12070","GREENE",0,0
"5029","DOLLAR GENERAL #12222","MONROE",0,0
"5030","DOLLAR GENERAL #12419","WAPPINGERS FALLS",3.9,110
"5031","DOLLAR GENERAL #12546","HUDSON",0,0
"5032","DOLLAR GENERAL #12597","ROSENDALE",3.9,125
"5033","DOLLAR GENERAL #12614","WATERTOWN",0,0
"5034","DOLLAR GENERAL #12739","PLEASANT VALLEY",0,0
"5035","DOLLAR GENERAL #12803","BUFFALO",0,0
"5036","DOLLAR GENERAL #12852","FREWSBURG",4.2,89
"5037","DOLLAR GENERAL #13210","MIDDLETOWN",0,0
"5038","DOLLAR GENERAL #13281","NEW WINDSOR",4,61
"5039","DOLLAR GENERAL #13305","CHEEKTOWAGA",0,0
"5040","DOLLAR GENERAL #13366","BUFFALO",0,0
"5041","DOLLAR GENERAL #13422","MIDDLEBURGH",3.8,168
"5042","DOLLAR GENERAL #13496","MIDDLETOWN",0,0
"5043","DOLLAR GENERAL #13706","PORT JERVIS",3.9,264
"5044","DOLLAR GENERAL #13753","NEWBURGH",0,0
"5045","DOLLAR GENERAL #13782","MODENA",0,0
"5046","DOLLAR GENERAL #13797","HAMBURG",4.1,227
"5047","DOLLAR GENERAL #13879","AMENIA",4,96
"5048","DOLLAR GENERAL #13920","HOOSICK FALLS",0,0
"5049","DOLLAR GENERAL #14064","DRYDEN",4.4,36
"5050","DOLLAR GENERAL #14171","WALDEN",0,0
"5051","DOLLAR GENERAL #14176","LAKE KATRINE",4.2,141
"5052","DOLLAR GENERAL #14201","PLATTSBURGH",0,0
"5053","DOLLAR GENERAL #14321","WHITE LAKE",0,0
"5054","DOLLAR GENERAL #14360","PINE BUSH",4,188
"5055","DOLLAR GENERAL #14385","KERHONKSON",4.1,133
"5056","DOLLAR GENERAL #14421","UTICA",0,0
"5057","DOLLAR GENERAL #14440","MARION",0,0
"5058","DOLLAR GENERAL #14586","PARISH",0,0
"5059","DOLLAR GENERAL #14652","BUFFALO",0,0
"5060","DOLLAR GENERAL #14669","BROADALBIN",4.2,158
"5061","DOLLAR GENERAL #14692","PRATTSBURGH",4.3,101
"5062","DOLLAR GENERAL #14739","KINGSTON",0,0
"5063","DOLLAR GENERAL #14742","BUFFALO",0,0
"5064","DOLLAR GENERAL #14745","CAIRO",0,0
"5065","DOLLAR GENERAL #14797","WILSON",0,0
"5066","DOLLAR GENERAL #14886","BUFFALO",0,0
"5067","DOLLAR GENERAL #14922","ALLEGANY",0,0
"5068","DOLLAR GENERAL #14952","SHARON SPRINGS",4.4,97
"5069","DOLLAR GENERAL #14958","FALLSBURG",4.1,173
"5070","DOLLAR GENERAL #14963","SYRACUSE",0,0
"5071","DOLLAR GENERAL #14992","OTEGO",4.1,122
"5072","DOLLAR GENERAL #14993","COOPERSTOWN",4.2,155
"5073","DOLLAR GENERAL #14999","QUEENSBURY",4.3,245
"5074","DOLLAR GENERAL #15000","FARMINGTON",0,0
"5075","DOLLAR GENERAL #15147","HYDE PARK",0,0
"5076","DOLLAR GENERAL #15168","BRIDGEWATER",0,0
"5077","DOLLAR GENERAL #15350","ELLENBURG CENTER",4.1,130
"5078","DOLLAR GENERAL #15408","EAST SYRACUSE",0,0
"5079","DOLLAR GENERAL #15417","MEDINA",0,0
"5080","DOLLAR GENERAL #15552","BALLSTON SPA",4.2,247
"5081","DOLLAR GENERAL #15675","WINDSOR",0,0
"5082","DOLLAR GENERAL #15744","MAYFIELD",0,0
"5083","DOLLAR GENERAL #15759","SAVONA",0,0
"5084","DOLLAR GENERAL #15815","JEFFERSONVILLE",0,0
"5085","DOLLAR GENERAL #15824","WADDINGTON",0,0
"5086","DOLLAR GENERAL #15844","MORRISVILLE",0,0
"5087","DOLLAR GENERAL #15900","BUFFALO",0,0
"5088","DOLLAR GENERAL #15950","ELDRED",0,0
"5089","DOLLAR GENERAL #16000","OSWEGO",4.2,134
"5090","DOLLAR GENERAL #16063","BROCTON",0,0
"5091","DOLLAR GENERAL #16110","RICHMONDVILLE",4.5,55
"5092","DOLLAR GENERAL #16163","NORWOOD",0,0
"5093","DOLLAR GENERAL #16176","GREENWICH",0,0
"5094","DOLLAR GENERAL #16178","PAVILION",0,0
"5095","DOLLAR GENERAL #16268","RANSOMVILLE",4.2,122
"5096","DOLLAR GENERAL #16269","MOIRA",0,0
"5097","DOLLAR GENERAL #16318","SPRINGWATER",0,0
"5098","DOLLAR GENERAL #16472","ARGYLE",0,0
"5099","DOLLAR GENERAL #16523","LIVINGSTON MANOR",3.8,67
"5100","DOLLAR GENERAL #16606","THERESA",0,0
"5101","DOLLAR GENERAL #16739","CHESTERTOWN",0,0
"5102","DOLLAR GENERAL #16847","WINTHROP",0,0
"5103","DOLLAR GENERAL #16890","ROCK HILL",0,0
"5104","DOLLAR GENERAL #16997","GANSEVOORT",0,0
"5105","DOLLAR GENERAL #17006","WINDSOR",0,0
"5106","DOLLAR GENERAL #17062","FORT ANN",4.3,124
"5107","DOLLAR GENERAL #17063","PLATTSBURGH",0,0
"5108","DOLLAR GENERAL #17064","CHAZY",4.2,65
"5109","DOLLAR GENERAL #17103","WALLKILL",0,0
"5110","DOLLAR GENERAL #17267","AVOCA",0,0
"5111","DOLLAR GENERAL #17476","BERLIN",0,0
"5112","DOLLAR GENERAL #17514","SHOKAN",0,0
"5113","DOLLAR GENERAL #17768","NICHOLVILLE",4.6,44
"5114","DOLLAR GENERAL #17784","COLTON",0,0
"5115","DOLLAR GENERAL #17843","CROGHAN",4.4,81
"5116","DOLLAR GENERAL #17989","PORT BYRON",4.2,101
"5117","DOLLAR GENERAL #17999","RUSHFORD",4.1,37
"5118","DOLLAR GENERAL #18074","LOCKPORT",4.5,186
"5119","DOLLAR GENERAL #18239","SALEM",0,0
"5120","DOLLAR GENERAL #18261","RIPLEY",0,0
"5121","DOLLAR GENERAL #18377","KENDALL",0,0
"5122","DOLLAR GENERAL #18388","HAMMOND",0,0
"5123","DOLLAR GENERAL #18530","AFTON",0,0
"5124","DOLLAR GENERAL #18565","WALWORTH",0,0
"5125","DOLLAR GENERAL #18657","BUFFALO",0,0
"5126","DOLLAR GENERAL #18917","JASPER",0,0
"5127","DOLLAR GENERAL #18952","FINDLEY LAKE",4.6,29
"5128","DOLLAR GENERAL #18976","OLEAN",0,0
"5129","DOLLAR GENERAL #19215","BROOKLYN",0,0
"5130","DOLLAR GENERAL #19236","ROCHESTER",0,0
"5131","DOLLAR GENERAL #19338","HANCOCK",0,0
"5132","DOLLAR GENERAL #19679","HARRISVILLE",0,0
"5133","DOLLAR GENERAL #5730","CHURCHVILLE",0,0
"5134","DOLLAR GENERAL #6029","CONSTANTIA",0,0
"5135","DOLLAR GENERAL #6079","WESTFIELD",0,0
"5136","DOLLAR GENERAL #6107","LEROY",0,0
"5137","DOLLAR GENERAL #6160","RETSOF",4.2,133
"5138","DOLLAR GENERAL #6270","SCOTIA",0,0
"5139","DOLLAR GENERAL #6318","CALEDONIA",0,0
"5140","DOLLAR GENERAL #6343","CLINTON",0,0
"5141","DOLLAR GENERAL #6383","GREAT VALLEY",0,0
"5142","DOLLAR GENERAL #6429","OVID",0,0
"5143","DOLLAR GENERAL #6514","SAUGERTIES",3.7,103
"5144","DOLLAR GENERAL #6714","SYLVAN BEACH",4.2,224
"5145","DOLLAR GENERAL #6841","WATERLOO",0,0
"5146","DOLLAR GENERAL #6904","BLACK RIVER",0,0
"5147","DOLLAR GENERAL #6958","HAMILTON",0,0
"5148","DOLLAR GENERAL #7325","MALONE",0,0
"5149","DOLLAR GENERAL #7422","FONDA",0,0
"5150","DOLLAR GENERAL #8106","ELMIRA",0,0
"5151","DOLLAR GENERAL #8207","BUFFALO",0,0
"5152","DOLLAR GENERAL #8306","NORTH TONAWANDA",0,0
"5153","DOLLAR GENERAL #8363","ALDEN",0,0
"5154","DOLLAR GENERAL #8626","ILION",4.1,238
"5155","DOLLAR GENERAL #8903","BOONVILLE",0,0
"5156","DOLLAR GENERAL #9052","CHEEKTOWAGA",4,329
"5157","DOLLAR GENERAL #9496","WATERTOWN",0,0
"5158","DOLLAR GENERAL #9556","HUDSON FALLS",0,0
"5159","DOLLAR GENERAL 09488","JAMESTOWN",0,0
"5160","DOLLAR GENERAL 11284","CUBA",0,0
"5161","DOLLAR GENERAL 12623","NORTH TONAWANDA",0,0
"5162","DOLLAR GENERAL 12975","BUFFALO",0,0
"5163","DOLLAR GENERAL 13147","PAWLING",3.8,128
"5164","DOLLAR GENERAL 14466","HOLLAND PATENT",4.1,103
"5165","DOLLAR GENERAL 15110","WURTSBORO",4.1,192
"5166","DOLLAR GENERAL 15825","FORT COVINGTON",4.3,102
"5167","DOLLAR GENERAL 16872","ALBANY",4.1,157
"5168","DOLLAR GENERAL 5729","HOLLEY",0,0
"5169","DOLLAR GENERAL 5736","MARLBORO",0,0
"5170","DOLLAR GENERAL 6014","TUPPER LAKE",3.4,84
"5171","DOLLAR GENERAL 6050","GASPORT",4.1,118
"5172","DOLLAR GENERAL 6065","WAVERLY",0,0
"5173","DOLLAR GENERAL 6066","MASSENA",4.4,118
"5174","DOLLAR GENERAL 6067","BELMONT",0,0
"5175","DOLLAR GENERAL 6125","WOLCOTT",0,0
"5176","DOLLAR GENERAL 6175","PORTVILLE",4.2,147
"5177","DOLLAR GENERAL 6184","GRANVILLE",0,0
"5178","DOLLAR GENERAL 6217","DANSVILLE",4.2,200
"5179","DOLLAR GENERAL 6295","LIBERTY",0,0
"5180","DOLLAR GENERAL 6337","AUBURN",0,0
"5181","DOLLAR GENERAL 6351","PEARL RIVER",0,0
"5182","DOLLAR GENERAL 6365","CORTLAND",0,0
"5183","DOLLAR GENERAL 6375","ADAMS",0,0
"5184","DOLLAR GENERAL 6386","BROCKPORT",4.4,200
"5185","DOLLAR GENERAL 6404","TULLY",0,0
"5186","DOLLAR GENERAL 6436","WHITNEY POINT",4.1,227
"5187","DOLLAR GENERAL 6456","MOUNT MORRIS",0,0
"5188","DOLLAR GENERAL 6540","COXSACKIE",0,0
"5189","DOLLAR GENERAL 6717","NIAGARA FALLS",0,0
"5190","DOLLAR GENERAL 6724","RANDOLPH",0,0
"5191","DOLLAR GENERAL 6766","ENDICOTT",0,0
"5192","DOLLAR GENERAL 6795","PAINTED POST",4,115
"5193","DOLLAR GENERAL 6872","CORINTH",0,0
"5194","DOLLAR GENERAL 6915","MONTOUR FALLS",3.9,183
"5195","DOLLAR GENERAL 6948","PENN YAN",3.8,142
"5196","DOLLAR GENERAL 6959","LIVONIA",0,0
"5197","DOLLAR GENERAL 7434","GREECE",0,0
"5198","DOLLAR GENERAL 7491","COBLESKILL",4,77
"5199","DOLLAR GENERAL 8104","OLEAN",4.1,166
"5200","DOLLAR GENERAL 8105","BATAVIA",0,0
"5201","DOLLAR GENERAL 8136","BUFFALO",4.1,225
"5202","DOLLAR GENERAL 8149","HORNELL",0,0
"5203","DOLLAR GENERAL 8183","LOCKPORT",0,0
"5204","DOLLAR GENERAL 8191","AVON",0,0
"5205","DOLLAR GENERAL 8211","ROCHESTER",0,0
"5206","DOLLAR GENERAL 8240","FREDONIA",4.2,141
"5207","DOLLAR GENERAL 8245","GETZVILLE",3.9,155
"5208","DOLLAR GENERAL 8294","DUNKIRK",0,0
"5209","DOLLAR GENERAL 8319","ALFRED STATION",4.2,130
"5210","DOLLAR GENERAL 8333","LOCKPORT",4.3,181
"5211","DOLLAR GENERAL 8364","ELMIRA",0,0
"5212","DOLLAR GENERAL 8393","NUNDA",3.9,81
"5213","DOLLAR GENERAL 8402","SILVER CREEK",0,0
"5214","DOLLAR GENERAL 8417","NIAGARA FALLS",0,0
"5215","DOLLAR GENERAL 8427","BUFFALO",0,0
"5216","DOLLAR GENERAL 8439","JAMESTOWN",0,0
"5217","DOLLAR GENERAL 8440","PALMYRA",0,0
"5218","DOLLAR GENERAL 8443","PULASKI",0,0
"5219","DOLLAR GENERAL 8446","CANISTEO",4.3,98
"5220","DOLLAR GENERAL 8488","TONAWANDA",0,0
"5221","DOLLAR GENERAL 8493","NEW HARTFORD",4.2,76
"5222","DOLLAR GENERAL 8558","ROCHESTER",3.9,499
"5223","DOLLAR GENERAL 8596","FULTON",0,0
"5224","DOLLAR GENERAL 8627","CHAFFEE",0,0
"5225","DOLLAR GENERAL 8643","NEWARK",0,0
"5226","DOLLAR GENERAL 8656","CANASTOTA",4.1,204
"5227","DOLLAR GENERAL 8676","WATERTOWN",4,113
"5228","DOLLAR GENERAL 8700","CARTHAGE",0,0
"5229","DOLLAR GENERAL 8749","SCHENECTADY",3.9,298
"5230","DOLLAR GENERAL 8814","IRONDEQUOIT",4,221
"5231","DOLLAR GENERAL 8865","LAKEWOOD",0,0
"5232","DOLLAR GENERAL 8875","WELLSVILLE",3.8,230
"5233","DOLLAR GENERAL 8895","SCHENECTADY",3.9,348
"5234","DOLLAR GENERAL 8896","BUFFALO",0,0
"5235","DOLLAR GENERAL 8926","HAMBURG",0,0
"5236","DOLLAR GENERAL 8958","ELMIRA",0,0
"5237","DOLLAR GENERAL 8960","BUFFALO",3.8,300
"5238","DOLLAR GENERAL 8994","SHERBURNE",4.3,149
"5239","DOLLAR GENERAL 9014","ALBION",0,0
"5240","DOLLAR GENERAL 9029","LACKAWANNA",3.9,192
"5241","DOLLAR GENERAL 9030","NEDROW",3.8,264
"5242","DOLLAR GENERAL 9079","ROCHESTER",0,0
"5243","DOLLAR GENERAL 9086","PHILADELPHIA",0,0
"5244","DOLLAR GENERAL 9098","HERKIMER",4,196
"5245","DOLLAR GENERAL 9109","WILLIAMSON",0,0
"5246","DOLLAR GENERAL 9112","VERNON",4.3,132
"5247","DOLLAR GENERAL 9228","HAMBURG",0,0
"5248","DOLLAR GENERAL 9229","WEST SENECA",4.4,116
"5249","DOLLAR GENERAL 9233","EAST ROCHESTER",0,0
"5250","DOLLAR GENERAL 9335","JOHNSON CITY",0,0
"5251","DOLLAR GENERAL 9357","AMSTERDAM",0,0
"5252","DOLLAR GENERAL 9419","ADDISON",0,0
"5253","DOLLAR GENERAL 9497","NORWICH",0,0
"5254","DOLLAR GENERAL 9558","OGDENSBURG",4.3,113
"5255","DOLLAR GENERAL 9582","CANTON",0,0
"5256","DOLLAR GENERAL 9622","BINGHAMTON",0,0
"5257","DOLLAR GENERAL 9657","ELMIRA",0,0
"5258","DOLLAR GENERAL 9726","PERRY",0,0
"5259","DOLLAR GENERAL 9732","WAYLAND",0,0
"5260","DOLLAR GENERAL 9742","SCOTTSVILLE",0,0
"5261","DOLLAR GENERAL 9782","EVANS MILLS",4.2,97
"5262","DOLLAR GENERAL 9839","WELLSVILLE",3.9,153
"5263","DOLLAR GENERAL 9951","BINGHAMTON",0,0
"5264","DOLLAR GENERAL ST 10552","NAPLES",0,0
"5265","DOLLAR GENERAL ST# 5897","LIMA",0,0
"5266","DOLLAR GENERAL STORE #","NEW BERLIN",0,0
"5267","DOLLAR GENERAL STORE #1","TABERG",4.3,159
"5268","DOLLAR GENERAL STR 6437","MEXICO",0,0
"5269","DOLLAR GENERAL STR 7326","POTSDAM",0,0
"5270","DOLLAR GENERAL STR 9531","ELLENVILLE",0,0
"5271","DOLLAR GENERAL STR 9723","ONEIDA",0,0
"5272","DOLLAR GENERAL STR 9763","CAMDEN",0,0
"5273","DOLLAR GENERAL STR#8360","NEWFANE",4,114
"5274","DOLLAR GENERAL#16566","BREESPORT",4.6,71
"5275","DOLLAR GENREAL #15843","PINE VALLEY",0,0
"5276","DOLLAR GNRL #10311","BUFFALO",0,0
"5277","DOLLAR GNRL STORE#10765","ST JOHNSVILLE",4,109
"5278","DOLLAR GNRL STORE#11122","CLIFTON SPRINGS",3.9,178
"5279","DOLLAR HEAVEN & DISCOUT","BRONX",0,0
"5280","DOLLAR JACKPOT","BROOKLYN",4.5,2
"5281","DOLLAR JACKPOT OF WESTC","BRONX",4,25
"5282","DOLLAR JUNCTION","BRONX",4.1,225
"5283","DOLLAR MAJIC","BRONX",3.3,4
"5284","DOLLAR MART","NEW YORK",0,0
"5285","DOLLAR PLUS GROCERY","JAMAICA",0,0
"5286","DOLLAR POWER","BRONX",0,0
"5287","DOLLAR RESORT","BRONX",3.9,18
"5288","DOLLAR SMILE INC","BROOKLYN",3,10
"5289","DOLLAR TOWER","NEW YORK",3.8,29
"5290","DOLLAR TREE","NEW HARTFORD",0,0
"5291","DOLLAR TREE  #03090","GARDEN CITY",0,0
"5292","DOLLAR TREE  #05428","RICHMOND HILL",0,0
"5293","DOLLAR TREE  #05579","BROOKLYN",0,0
"5294","DOLLAR TREE  #1860","HUDSON",0,0
"5295","DOLLAR TREE  #4189","BRONX",4,439
"5296","DOLLAR TREE  #4274","BRONX",3.9,405
"5297","DOLLAR TREE  #4360","BROOKLYN",3.5,308
"5298","DOLLAR TREE  #4399","BROOKLYN",3.7,475
"5299","DOLLAR TREE  #4729","BRONX",4.2,354
"5300","DOLLAR TREE  #4737","BROOKLYN",0,0
"5301","DOLLAR TREE  #4759","BRONX",3.7,309
"5302","DOLLAR TREE  #4787","SUNNYSIDE",0,0
"5303","DOLLAR TREE  #4915","NEW YORK",3.2,383
"5304","DOLLAR TREE  #4925","NEW YORK",3.4,441
"5305","DOLLAR TREE  #4930","QUEENS VILLAGE",3.8,242
"5306","DOLLAR TREE  #5150","BRONX",0,0
"5307","DOLLAR TREE  #5172","SOUTH RICHMOND HIL",4.2,393
"5308","DOLLAR TREE  #5185","BROOKLYN",4.1,267
"5309","DOLLAR TREE  #5253","BROOKLYN",3.5,304
"5310","DOLLAR TREE  #5312","MIDDLE VILLAGE",4.2,342
"5311","DOLLAR TREE  #5328","BROOKLYN",3.8,362
"5312","DOLLAR TREE  #5345","BRONX",4.1,325
"5313","DOLLAR TREE  #5348","BRONX",4.1,68
"5314","DOLLAR TREE  #5477","WOODSIDE",0,0
"5315","DOLLAR TREE  #5551","BROOKLYN",0,0
"5316","DOLLAR TREE # 06153","BROOKLYN",0,0
"5317","DOLLAR TREE # 07018","ELLENVILLE",4.3,27
"5318","DOLLAR TREE # 07139","BRONX",0,0
"5319","DOLLAR TREE #00511","ROCHESTER",0,0
"5320","DOLLAR TREE #00914","ROCHESTER",0,0
"5321","DOLLAR TREE #01187","CATSKILL",4.4,44
"5322","DOLLAR TREE #01420","ROCHESTER",0,0
"5323","DOLLAR TREE #01450","CORTLAND",5,2
"5324","DOLLAR TREE #02077","MALONE",0,0
"5325","DOLLAR TREE #03105","PEEKSKILL",3.4,91
"5326","DOLLAR TREE #03647","MASSAPEQUA",0,0
"5327","DOLLAR TREE #03699","NANUET",3.4,70
"5328","DOLLAR TREE #04874","ALBANY",0,0
"5329","DOLLAR TREE #04928","HOWARD BEACH",4.1,216
"5330","DOLLAR TREE #05611","BROOKLYN",0,0
"5331","DOLLAR TREE #05616","QUEENS VILLAGE",0,0
"5332","DOLLAR TREE #05624","BRONX",0,0
"5333","DOLLAR TREE #05680","WATERVLIET",4.1,190
"5334","DOLLAR TREE #05848","BROOKLYN",0,0
"5335","DOLLAR TREE #05983","MOUNT VERNON",0,0
"5336","DOLLAR TREE #06068","BROOKLYN",0,0
"5337","DOLLAR TREE #06068 - 6/","BROOKLYN",0,0
"5338","DOLLAR TREE #06075","AUBURN",4.4,115
"5339","DOLLAR TREE #06141","SCHENECTADY",0,0
"5340","DOLLAR TREE #06156","GUILDERLAND",4.2,37
"5341","DOLLAR TREE #06183 10/4","BRONX",0,0
"5342","DOLLAR TREE #06209","BROOKLYN",0,0
"5343","DOLLAR TREE #06235","DEPEW",4,60
"5344","DOLLAR TREE #06245","TROY",0,0
"5345","DOLLAR TREE #06253","ALBANY",0,0
"5346","DOLLAR TREE #06285","BATH",0,0
"5347","DOLLAR TREE #06318","BRENTWOOD",0,0
"5348","DOLLAR TREE #06320","WARSAW",0,0
