"","Trade.Name","County","Inspection.Grade","Inspection.Date","Owner.Name","Street","City","State.Code","Zip.Code","Deficiency.Number","Deficiency.Description","Location","id"
"4755","DECICCOS","Westchester","A",2018-04-11,"PRIMIZIA FOODS II LLC","17 MAPLE AVE","ARMONK","NY",10504,"","","17 MAPLE AVE
ARMONK, NY 10504
(41.126589, -73.71309)",18754
"4756","DEDRICK'S FARM MARKET","Tompkins","A",2019-03-18,"DEDRICK'S FARM MARKET","19 CORTLAND RD.","DRYDEN","NY",13053,"","","19 CORTLAND RD.
DRYDEN, NY 13053
(42.505352, -76.296347)",21570
"4757","DEE GROCERY AND MEAT MA","Kings","A",2018-07-09,"DEE GROCERY AND MEAT MARKET INC","2753-55 PITKIN AVE","BROOKLYN","NY",11208,"","","2753-55 PITKIN AVE
BROOKLYN, NY 11208
(40.675616, -73.870465)",10035
"4758","DEEP DAIRY PRODUCTS","Seneca","A",2019-02-21,"DEEP DAIRY PRODUCTS LLC","61 SWIFT STREET","WATERLOO","NY",13165,"","","61 SWIFT STREET
WATERLOO, NY 13165
(42.909558, -76.854994)",24927
"4759","DEER PARK DELI NY","Suffolk","A",2018-10-22,"DEER PARK DELI NY CORP","183 BAYSHORE RD","DEER PARK","NY",11729,"","","183 BAYSHORE RD
DEER PARK, NY 11729
(40.747351, -73.318736)",17181
"4760","DEER PARK RAVIOLI","Suffolk","A",2018-08-27,"DEER PARK MACARONI CO INC","1882 DEER PARK AVE","DEER PARK","NY",11729,"","","1882 DEER PARK AVE
DEER PARK, NY 11729
(40.760626, -73.32888)",17867
"4761","DEER RUN FARMS","Onondaga","A",2018-10-04,"MCCARTHY SEAN","2695 RT 11A BOX 103","LAFAYETTE","NY",13084,"","","",3381
"4762","DEERVIEW DELI MART","Dutchess","A",2018-10-24,"9G FOOD MART DELI INC","1915 RT 9G","STAATSBURG","NY",12580,"","","1915 RT 9G
STAATSBURG, NY 12580
(41.843283, -73.898)",4095
"4763","DEFAZIO IMPORTS","Rensselaer","A",2018-08-01,"DEFAZIO ROCCO","264 4TH STREET","TROY","NY",12180,"","","264 4TH STREET
TROY, NY 12180
(42.723322, -73.69076)",15515
"4764","DEFENDERS GOURMET DELI","Bronx","A",2018-06-07,"DEFENDERS GOURMET DELI INC","386 EAST 161ST ST","BRONX","NY",10451,"","","386 EAST 161ST ST
BRONX, NY 10451
(40.824353, -73.914387)",7218
"4765","DEGNORA DELI GROCERY","Bronx","A",2019-03-19,"DIGNORA DELI GROCERY INC","1299 FRANKLIN AVE","BRONX","NY",10456,"","","1299 FRANKLIN AVE
BRONX, NY 10456
(40.831897, -73.901723)",19080
"4766","DEKALB BEST DELI & GRIL","Kings","A",2018-06-07,"DEKALB BEST DELI & GRILL CORP","495 DEKALB AVE","BROOKLYN","NY",11205,"","","495 DEKALB AVE
BROOKLYN, NY 11205
(40.690713, -73.95711)",9667
"4767","DEKALB CONVENIENCE","Kings","A",2018-04-11,"DEKALB CONVENIENCE INC","249 DEKALB AVE","BROOKLYN","NY",11205,"","","249 DEKALB AVE
BROOKLYN, NY 11205
(40.689475, -73.969337)",9542
"4768","DEKALB CONVENIENCE STOR","Kings","A",2018-06-04,"ADDAILAM SADDAM A","882 DEKALB AVE #B","BROOKLYN","NY",11221,"","","882 DEKALB AVE #B
BROOKLYN, NY 11221
(40.692606, -73.940627)",8575
"4769","DEKALB MARKET","Kings","A",2019-03-18,"BELLE CHEESE CORP","445 ALBEE SQUARE WEST#","BROOKLYN","NY",11201,"","","445 ALBEE SQUARE WEST#
BROOKLYN, NY 11201
(40.69074, -73.983473)",27177
"4770","DEKALB SUPER DELI","Kings","A",2018-06-29,"DEKALB SUPER DELI INC","447 DEKALB AVE","BROOKLYN","NY",11205,"","","447 DEKALB AVE
BROOKLYN, NY 11205
(40.690422, -73.959548)",10188
"4771","DEL FIORE ITLN PORK STR","Suffolk","A",2019-02-07,"ROCKY POINT ITALIAN PORK STORE IN","39 BROADWAY","ROCKY POINT","NY",11778,"","","39 BROADWAY
ROCKY POINT, NY 11778
(40.948411, -72.923781)",17157
"4772","DEL FIORE PORK STORE","Suffolk","A",2018-07-19,"DEL FIORE PORK STORE INC","51 N OCEAN AVE","PATCHOGUE","NY",11772,"","","51 N OCEAN AVE
PATCHOGUE, NY 11772
(40.766445, -73.015116)",17300
"4773","DELAFIELD DELI","Dutchess","A",2019-02-07,"DELAFIELD DELI INC","41 WHINFIELD ST","POUGHKEEPSIE","NY",12601,"","","41 WHINFIELD ST
POUGHKEEPSIE, NY 12601
(41.713189, -73.93436)",8437
"4774","DELAWARE DELI 10/19/201","Ulster","A",2019-02-07,"J & M  NEW BEGINNINGS LLC","484 DELAWARE AVE","KINGSTON","NY",12401,"","","484 DELAWARE AVE
KINGSTON, NY 12401
(41.926634, -73.98211)",17359
"4775","DELAWARE DELICACIES SMO","Delaware","A",2018-09-21,"TURNER RAYMOND L JR","420 RHODES RD","HANCOCK","NY",13783,"","","420 RHODES RD
HANCOCK, NY 13783
(41.944376, -75.249263)",7876
"4776","DELAWARE GROCERY STORE","Albany","A",2019-02-20,"NAGI ABDO M","36 JUDSON ST","ALBANY","NY",12206,"","","36 JUDSON ST
ALBANY, NY 12206
(42.664994, -73.765089)",25093
"4777","DELAWARE MART","Erie","A",2018-08-13,"DELAWARE MART INC","2075 DELAWARE AVE","BUFFALO","NY",14216,"","","2075 DELAWARE AVE
BUFFALO, NY 14216
(42.940811, -78.867694)",8370
"4778","DELFORNOS MARKET PLACE","Dutchess","A",2019-02-20,"DELFORNOS MARKET PLACE INC","250 HOOKER AVE SUITE 4","POUGHKEEPSIE","NY",12603,"","","250 HOOKER AVE SUITE 4
POUGHKEEPSIE, NY 12603
(41.686326, -73.911174)",22236
"4779","DELI","Nassau","A",2018-11-26,"FOOD FACTORY INC","148 HENDERICKSON AVE","LYNBROOK","NY",11563,"","","148 HENDERICKSON AVE
LYNBROOK, NY 11563
(40.665602, -73.678302)",12017
"4780","DELI & BREW","Rensselaer","A",2018-04-02,"JOKER INC","64 VANDENBURGH AVE","TROY","NY",12180,"","","64 VANDENBURGH AVE
TROY, NY 12180
(42.699456, -73.689113)",16013
"4781","DELI & GRILL","Queens","C",2019-02-05,"FRESH DELI & GRILL CORP","114-02 MERRICK BLVD","JAMAICA","NY",11434,"04E","ERROR: #NAME?","114-02 MERRICK BLVD
JAMAICA, NY 11434
(40.691535, -73.779196)",24670
"4782","DELI & GROCERY","Kings","A",2018-06-22,"ABBG BAGELS INC","2829 CONEY ISLAND AVE","BROOKLYN","NY",11235,"","","2829 CONEY ISLAND AVE
BROOKLYN, NY 11235
(40.587599, -73.960317)",9841
"4783","DELI & GROCERY LAS DELI","Suffolk","A",2018-05-09,"DELI & GROCERY LAS DELICIAS INC","1230 ISLIP AVE","BRENTWOOD","NY",11717,"","","1230 ISLIP AVE
BRENTWOOD, NY 11717
(40.769394, -73.211387)",17060
"4784","DELI & SMOKE SHOP","Kings","A",2018-09-20,"5TH AVENUE CANDY&GROCERY INC","439 5TH AVE","BROOKLYN","NY",11215,"","","439 5TH AVE
BROOKLYN, NY 11215
(40.669329, -73.986158)",9234
"4785","DELI AND TOBACCO","New York","A",2018-12-06,"DELI AND TOBACCO CORP","375 1ST AVE","NEW YORK","NY",10010,"","","375 1ST AVE
NEW YORK, NY 10010
(40.736136, -73.979075)",13200
"4786","DELI AT FIRST AVE","New York","C",2018-09-10,"BLUE&GOLD DELI INC","1075 1ST AVE","NEW YORK","NY",10022,"04F","- 5-8 live adult cockroaches are observed on kitchen wall and floor corner.","1075 1ST AVE
NEW YORK, NY 10022
(40.759429, -73.96213)",20410
"4787","DELI BASKET","Kings","A",2018-04-13,"DELI BASKET CORP","1700 STERLING PLACE","BROOKLYN","NY",11233,"","","1700 STERLING PLACE
BROOKLYN, NY 11233
(40.671029, -73.922789)",9556
"4788","DELI BEE EXPRESS SUPERM","Suffolk","A",2018-06-05,"DELI BEE EXPRESS SUPERMARKET INC","16 MIDDLE COUNTRY RD","CORAM","NY",11727,"","","16 MIDDLE COUNTRY RD
CORAM, NY 11727
(40.874467, -72.978311)",17335
"4789","DELI BEER SMOKE","Suffolk","A",2018-10-18,"MEDI KRUPA INC","223 COMMACK RD","COMMACK","NY",11725,"","","223 COMMACK RD
COMMACK, NY 11725
(40.837506, -73.294654)",17866
"4790","DELI EL CHIQUITO","Suffolk","A",2019-02-06,"DELI EL CHIQUITO CORP","672 SUNRISE HWY","WEST BABYLON","NY",11704,"","","672 SUNRISE HWY
WEST BABYLON, NY 11704
(40.713239, -73.344175)",17267
"4791","DELI EXPRESS","Rensselaer","A",2018-11-29,"SALEH SALEH","70 JEFFERSON ST","TROY","NY",12180,"","","70 JEFFERSON ST
TROY, NY 12180
(42.721495, -73.692586)",15474
"4792","DELI FARMS","Bronx","A",2018-07-09,"DELI FARMS CORP","850 LONGWOOD AVE","BRONX","NY",10459,"","","850 LONGWOOD AVE
BRONX, NY 10459
(40.819366, -73.901333)",7524
"4793","DELI FOOD CENTER","Kings","A",2018-12-03,"DELI FOOD CENTER CORP","79 E 18TH ST","BROOKLYN","NY",11226,"","","79 E 18TH ST
BROOKLYN, NY 11226
(40.649331, -73.963044)",10159
"4794","DELI FOR BIG BELLY","Queens","A",2018-05-08,"GHOTRA INTERNATIONAL INC","212-15 JAMAICA AVE","QUEENS VILLAGE","NY",11428,"","","212-15 JAMAICA AVE
QUEENS VILLAGE, NY 11428
(40.715819, -73.746451)",4805
"4795","DELI FRESH MARKET","Suffolk","A",2018-03-29,"DELI FRESH MARKET CORP","1282 NORTH SEA RD","SOUTHAMPTON","NY",11968,"","","1282 NORTH SEA RD
SOUTHAMPTON, NY 11968
(40.919249, -72.41184)",17431
"4796","DELI FUENTES","Nassau","A",2019-03-08,"DELI FUENTES INC","423 CLINTON ST","HEMPSTEAD","NY",11550,"","","423 CLINTON ST
HEMPSTEAD, NY 11550
(40.718903, -73.620744)",2673
"4797","DELI GROCERY","Queens","A",2018-10-22,"HAMMEL STOP 1 SUPERMARKET INC","8602 ROCKAWAY BEACH BLVD","FAR ROCKAWAY","NY",11693,"","","8602 ROCKAWAY BEACH BLVD
FAR ROCKAWAY, NY 11693
(40.587548, -73.811408)",15823
"4798","DELI GROCERY EL FOGON","Bronx","A",2019-01-22,"DELI GROCERY EL FOGON 2017 CORP","362 E 146TH ST","BRONX","NY",10455,"","","362 E 146TH ST
BRONX, NY 10455
(40.814464, -73.919956)",6286
"4799","DELI GROCERY FRUIT","Kings","A",2019-01-31,"DELI GROCERY FRUIT INC","112 WATKINS ST","BROOKLYN","NY",11212,"","","112 WATKINS ST
BROOKLYN, NY 11212
(40.670123, -73.907966)",9515
"4800","DELI GROCERY RONYS","Queens","A",2018-05-16,"DELI GROCERY RONYS CORP","103-07 ROOSEVELT AVE","CORONA","NY",11368,"","","103-07 ROOSEVELT AVE
CORONA, NY 11368
(40.749899, -73.86236)",794
"4801","DELI GROCERY SHEF PEPIN","Queens","C",2018-09-21,"DELI GROCERY SHEF PEPIN INC","2107 CORNAGA AVE","FAR ROCKAWAY","NY",11691,"06B","Potentially hazardous foods are not stored at safe temperatures","2107 CORNAGA AVE
FAR ROCKAWAY, NY 11691
(40.602231, -73.754213)",15734
"4802","DELI GROCERY SUPERMARKE","Queens","A",2019-02-25,"AKSHAR MART NY INC","157-11 LINDEN BLVD","JAMAICA","NY",11434,"","","157-11 LINDEN BLVD
JAMAICA, NY 11434
(40.687868, -73.789958)",20471
"4803","DELI LA MORENA","Suffolk","A",2018-12-10,"DELI LA MORENA CORP","74B PULASKI ROAD","HUNTINGTON STATION","NY",11746,"","","74B PULASKI ROAD
HUNTINGTON STATION, NY 11746
(40.848717, -73.407905)",17764
"4804","DELI LICIOUS DELICATESS","Queens","C",2018-11-14,"SUMUKH INC","7102 MYRTLE AVENUE","RIDGEWOOD","NY",11385,"04F","- 20-30 cockroaches in all stages of life are observed crawling on non-food contact surfaces in a crevice underneath the deli slicer in the deli food preparation area.</font> 

 - 20-50 cockroaches in all stages of life are observed crawling on non-food contact surfaces near the cooling unit underneath the deli case in the deli food preparation area.</font> 

 - 5-10 cockroaches in all stages of life are observed crawling against the wall behind the equipment wash sink in the deli food preparation area.</font> 

 - Countless cockroach carcasses were observed throughout non-food contact surfaces of the deli food preparation area, rear storage area and basement.</font>","7102 MYRTLE AVENUE
RIDGEWOOD, NY 11385
(40.702026, -73.879827)",20476
"4805","DELI LLAMA SOUP-ER-SHOP","Lewis","A",2019-01-15,"PRASHAW JACQUELYN","9725 STATE RTE 126 #","BEAVER FALLS","NY",13305,"","","",11937
"4806","DELI N GROCERY WITH A D","Bronx","A",2018-12-13,"DELI N GROCERY WITH A DIFFERENCE","1724 BUSSING AVE","BRONX","NY",10466,"","","1724 BUSSING AVE
BRONX, NY 10466
(40.893434, -73.851379)",5938
"4807","DELI O'S","Erie","A",2018-04-25,"DELI O'S INC","515 HERR ROAD","ANGOLA","NY",14006,"","","515 HERR ROAD
ANGOLA, NY 14006
(42.631011, -79.07096)",7590
"4808","DELI ON 4TH AVE","Kings","A",2018-06-15,"DELI ON 4TH AVE CORP","6930 4TH AVENUE","BROOKLYN","NY",11209,"","","6930 4TH AVENUE
BROOKLYN, NY 11209
(40.633925, -74.023801)",9991
"4809","DELI ON 5TH","Kings","A",2019-01-16,"DELI ON 5TH INC","8325 5TH AVE","BROOKLYN","NY",11209,"","","8325 5TH AVE
BROOKLYN, NY 11209
(40.622952, -74.025325)",9410
"4810","DELI ON BROADWAY THE","Rensselaer","A",2018-12-19,"MOHAMED ABOZEID","904 BROADWAY","RENSSELAER","NY",12144,"","","904 BROADWAY
RENSSELAER, NY 12144
(42.647467, -73.739086)",15502
"4811","DELI ON THE BLOCK","Richmond","A",2018-06-19,"SAVITA INC","172 SOUTH AVE","STATEN ISLAND","NY",10303,"","","172 SOUTH AVE
STATEN ISLAND, NY 10303
(40.635709, -74.166194)",16498
"4812","DELI ON THE TERRACE","Richmond","A",2018-07-20,"SUN BEAM OF NY INC","2950 RICHMOND TERR","STATEN ISLAND","NY",10303,"","","2950 RICHMOND TERR
STATEN ISLAND, NY 10303
(40.636817, -74.158416)",16883
"4813","DELI PLUS","Nassau","A",2018-12-24,"HAMILTON GROCERY INC","618 FULTON AVE","HEMPSTEAD","NY",11550,"","","618 FULTON AVE
HEMPSTEAD, NY 11550
(40.711608, -73.610549)",13556
"4814","DELI SON MIGUEL PIZZA","Suffolk","A",2018-07-02,"BRACLEXI FOOD CORP","1583 FIFTH AVENUE","BAY SHORE","NY",11706,"","","1583 FIFTH AVENUE
BAY SHORE, NY 11706
(40.755291, -73.26258)",16934
"4815","DELI SUBS & MORE COUNTR","Rensselaer","A",2018-07-25,"DELI SUBS & MORE COUNTRY STORE IN","1937 ROUTE 20","EAST NASSAU","NY",12062,"","","1937 ROUTE 20
EAST NASSAU, NY 12062
(42.49478, -73.505893)",5402
"4816","DELI-ICIOUS","Richmond","A",2018-05-16,"DELI-ICIOUS LLC","1986 HYLAN BLVD","STATEN ISLAND","NY",10306,"","","1986 HYLAN BLVD
STATEN ISLAND, NY 10306
(40.581451, -74.098211)",16356
"4817","DELI&GROCERY","Sullivan","A",2019-01-28,"AHMED TRADING INC","1302 RT 52","LOCH SHELDRAKE","NY",12759,"","","1302 RT 52
LOCH SHELDRAKE, NY 12759
(41.777859, -74.66699)",5101
"4818","DELICATESSEN","Richmond","A",2018-04-26,"SANTA ROSA GROCERY AND DELI INC","76 VANDUZER STREET","STATEN ISLAND","NY",10301,"","","76 VANDUZER STREET
STATEN ISLAND, NY 10301
(40.63621, -74.077168)",15587
"4819","DELICIAS DELI","Queens","A",2019-03-07,"DELICIAS HISPANAS DELI CORP","146-01 34TH AVE #","FLUSHING","NY",11354,"","","146-01 34TH AVE #
FLUSHING, NY 11354
(40.767248, -73.820938)",20136
"4820","DELICIIOUS DELUXE DELI","Queens","A",2018-04-03,"DELICIOUS DELUXE DELI & GRILL COR","118-65 FARMERS BOULEVARD","SAINT ALBANS","NY",11412,"","","118-65 FARMERS BOULEVARD
SAINT ALBANS, NY 11412
(40.688444, -73.761985)",4531
"4821","DELICIOUS DELI","New York","C",2018-11-26,"S NARAYAN INC","219 ELDRIDGE STREET","NEW YORK","NY",10002,"04F","- 3-5 adult cockroaches are present on basement floor near freezer units. 

 - 5-8 nymph cockroaches are present on basement floor near freezer units. 

 - 20-30 fresh and old appearing mouse droppings are present on rear basement food storage area shelves 

 - 15-20 fresh and old appearing mouse droppings are present along basement floor/wall perimeters. 

 - 8-10 fresh and old appearing mouse droppings are present on deli counter lower cabinet.","219 ELDRIDGE STREET
NEW YORK, NY 10002
(40.721804, -73.990091)",23387
"4822","DELICIOUS FOOD DELI CAF","Bronx","C",2018-12-13,"DELICIOUS FOOD DELI CAFE INC","2148 WESTCHESTER AVE","BRONX","NY",10462,"04F","- 20-30 fresh appearing mouse droppings are present underneath heater adjacent to the rear prep room. 

  - 50 -100 fresh appearing mouse droppings are present on the basement storage rice and food shelves.","2148 WESTCHESTER AVE
BRONX, NY 10462
(40.834062, -73.852808)",89
"4823","DELICIOUS GOURMET DELI","Kings","A",2018-04-04,"DELICIOUS GOURMET DELI & GRILL CO","685 GATES AVE #5","BROOKLYN","NY",11221,"","","685 GATES AVE #5
BROOKLYN, NY 11221
(40.687686, -73.937852)",9794
"4824","DELICIOUS GOURMET FOOD","Kings","C",2018-03-30,"DELICIOUS GOURMET FOOD MARKET COR","738 NOSTRAND AVE","BROOKLYN","NY",11216,"04F","- One live rat, one dead rat on trap, and 50-100 intermingled fresh and old appearing rat droppings are present in the basement bottled beverage storage area.","738 NOSTRAND AVE
BROOKLYN, NY 11216
(40.673269, -73.95018)",26534
"4825","DELIGHT CAFE","Nassau","A",2018-08-01,"DELIGHT CAFE INC","630 OLD COUNTRY RD","GARDEN CITY","NY",11530,"","","630 OLD COUNTRY RD
GARDEN CITY, NY 11530
(40.7385, -73.613)",12055
"4826","DELIMANIA GROCERY","Bronx","A",2018-09-05,"DELIMANIA GROCERY CORP","2780 KINGSBRIDGE TERRACE","BRONX","NY",10463,"","","2780 KINGSBRIDGE TERRACE
BRONX, NY 10463
(40.873025, -73.903073)",7486
"4827","DELITERIA","New York","A",2018-10-25,"DELITERIA 1061 INC","1061 2ND AVE","NEW YORK","NY",10022,"","","1061 2ND AVE
NEW YORK, NY 10022
(40.75852, -73.965853)",14236
"4828","DELIZROUS DELI","Kings","C",2018-12-20,"DELIZIOUS DELI CORP","5124 4TH AVE","BROOKLYN","NY",11220,"04H","-  Equipment cleaning or sanitizing facilities for food processing operations are inadequate as follows:  warewash sink is not operational due to the lack of running hot water. Hot water temperature is 45 deg F.","5124 4TH AVE
BROOKLYN, NY 11220
(40.645479, -74.013715)",26086
"4829","DELL'S MARKET & DELI","Monroe","A",2018-03-20,"DELL'S MARKET & DELI LLC","1799 ENGLISH ROAD","ROCHESTER","NY",14616,"","","1799 ENGLISH ROAD
ROCHESTER, NY 14616
(43.238481, -77.697369)",11546
"4830","DELLAPIETRA'S","Kings","A",2018-03-30,"DELLA PIETRA GOURMET MEAT MARKET","193 ATLANTIC AVE","BROOKLYN","NY",11201,"","","193 ATLANTIC AVE
BROOKLYN, NY 11201
(40.689915, -73.993184)",9588
"4831","DELLAS CHOCOLATES","Orleans","A",2018-05-24,"FULLER SUSAN E","512 MAIN ST","MEDINA","NY",14103,"","","512 MAIN ST
MEDINA, NY 14103
(43.220033, -78.386919)",14591
"4832","DELLI BROTHERS","Westchester","A",2018-12-21,"NABIL SWILEH","1401 MAIN ST","PEEKSKILL","NY",10566,"","","1401 MAIN ST
PEEKSKILL, NY 10566
(41.292502, -73.911467)",18223
"4833","DELMAR VALERO","Albany","A",2018-05-01,"PRESTIGE PETROLEUM CORP","594 DELAWARE AVE #","DELMAR","NY",12054,"","","594 DELAWARE AVE #
DELMAR, NY 12054
(42.615555, -73.85125)",5738
"4834","DELTA SONIC 812","Monroe","A",2018-07-24,"DELTA SONIC CAR WASH SYSTEMS INC","1660 PENFIELD RD #","ROCHESTER","NY",14625,"","","1660 PENFIELD RD #
ROCHESTER, NY 14625
(43.132223, -77.490681)",11852
"4835","DELTA SONIC 818","Erie","A",2018-04-04,"DELTA SONIC CAR WASH SYSTEMS INC","3205 ORCHARD PARK RD #","ORCHARD PARK","NY",14127,"","","3205 ORCHARD PARK RD #
ORCHARD PARK, NY 14127
(42.797425, -78.751649)",8213
"4836","DELTA SONIC CARWASH 829","Monroe","A",2018-10-02,"DELTA-SONIC CARWASH SYSTEMS INC","1841 EMPIRE BLVD #","WEBSTER","NY",14580,"","","1841 EMPIRE BLVD #
WEBSTER, NY 14580
(43.18759, -77.505122)",11183
"4837","DELTA-SONIC CARWASH","Onondaga","A",2018-10-18,"DELTA-SONIC CARWASH SYSTEMS INC","3720 BREWERTON RD","SYRACUSE","NY",13212,"","","3720 BREWERTON RD
SYRACUSE, NY 13212
(43.117385, -76.144583)",14572
"4838","DELTAURANT","New York","A",2018-07-06,"DELTAURANT CORP","289 HUDSON STREET","NEW YORK","NY",10013,"","","289 HUDSON STREET
NEW YORK, NY 10013
(40.725682, -74.007567)",13088
"4839","DELUCIAS GROCERIES","Saratoga","B",2019-03-05,"JEMMO ENTERPRISES LTD","2858 RT 9","BALLSTON SPA","NY",12020,"06B","Potentially hazardous foods are not stored at safe temperatures","",28276
"4840","DELUXE CANDY STORE","New York","A",2018-08-21,"DELUXE CANDY STORE INC","3430 BROADWAY","NEW YORK","NY",10031,"","","3430 BROADWAY
NEW YORK, NY 10031
(40.823019, -73.952813)",13844
"4841","DENNIS GROCERY","Kings","A",2018-06-07,"OH JIN CHUL","2302 BATH AVE","BROOKLYN","NY",11214,"","","2302 BATH AVE
BROOKLYN, NY 11214
(40.596988, -73.995085)",10950
"4842","DENNY FOOD MART","Kings","A",2018-05-21,"DENNY FOOD MART CORP","574 WILSON AVE","BROOKLYN","NY",11207,"","","574 WILSON AVE
BROOKLYN, NY 11207
(40.690576, -73.907923)",9829
"4843","DEPANNEUR","Kings","A",2019-02-06,"WILLY B'S TACKLE LLC","242 WYTHE AVE  STUDIO 1","BROOKLYN","NY",11249,"","","242 WYTHE AVE STUDIO 1
BROOKLYN, NY 11249
(40.717421, -73.962689)",11464
"4844","DEPEW ONE STOP","Erie","A",2018-05-11,"DEPEW ONE STOP LLC","4535 BROADWAY","DEPEW","NY",14043,"","","4535 BROADWAY
DEPEW, NY 14043
(42.90155, -78.706847)",7898
"4845","DEPOSIT BIG M","Broome","A",2019-01-28,"FINCH ENTERPRISES INC","156 FRONT ST","DEPOSIT","NY",13754,"","","156 FRONT ST
DEPOSIT, NY 13754
(42.060772, -75.425621)",7332
"4846","DEPOT STATIONERY","Suffolk","A",2018-07-10,"SANA GROCERY & STATIONERY CORP","180 DEPOT RD","HUNTINGTON STATION","NY",11746,"","","180 DEPOT RD
HUNTINGTON STATION, NY 11746
(40.844213, -73.405928)",17955
"4847","DER CHEONG MEAT MARKET","New York","A",2018-07-23,"DER CHEONG MEAT MARKET INC","21 CATHERINE ST","NEW YORK","NY",10038,"","","21 CATHERINE ST
NEW YORK, NY 10038
(40.712952, -73.997165)",13369
"4848","DERLYN FOOD","Bronx","A",2019-03-01,"DERLYN FOOD CORP","150 WEST KINGSBRIDGE RD","BRONX","NY",10463,"","","150 WEST KINGSBRIDGE RD
BRONX, NY 10463
(40.870028, -73.904163)",19475
"4849","DERUYTER BIG M","Madison","A",2018-08-28,"BAGS FULL INC","431 RT 13","DERUYTER","NY",13052,"","","431 RT 13
DERUYTER, NY 13052
(42.763579, -75.8842)",3403
"4850","DESANTIS MEAT MKT&DELI","Oneida","A",2018-07-20,"DESANTIS MEAT MARKET&DELI INC","8196 RT 12","BARNEVELD","NY",13304,"","","8196 RT 12
BARNEVELD, NY 13304
(43.26064, -75.185188)",4077
"4851","DESHI GROCERY MARKET","Suffolk","A",2018-08-06,"M & D MULTI MARKET LLC","349 SMITHTOWN BLVD","RONKONKOMA","NY",11779,"","","349 SMITHTOWN BLVD
RONKONKOMA, NY 11779
(40.832253, -73.120483)",17918
"4852","DESHI SUPERMARKET","Kings","A",2019-01-22,"MOHAMMED SAYEEDEE DH","1322 NEWKIRK AVE","BROOKLYN","NY",11230,"","","1322 NEWKIRK AVE
BROOKLYN, NY 11230
(40.634959, -73.964505)",11805
"4853","DESI BZR &BAMIYAN KABOB","Monroe","A",2018-04-10,"MAQSOODI NAJIBA","1713 CRITTENDEN RD","ROCHESTER","NY",14623,"","","1713 CRITTENDEN RD
ROCHESTER, NY 14623
(43.104237, -77.626948)",12432
"4854","DESI DELI & GROCERY","Queens","A",2018-12-10,"DIAMOND JUBILEE BUSINESS NETWORK","89-06 ELIOT AVE","REGO PARK","NY",11374,"","","89-06 ELIOT AVE
REGO PARK, NY 11374
(40.732149, -73.868752)",4440
"4855","DESI ZAIKA ASIAN BAZAR","Suffolk","A",2018-12-19,"TAIMUR GROCERY ENTERPRISES INC","905 E JERICHO TPKE","HUNTINGTON STATION","NY",11746,"","","905 E JERICHO TPKE
HUNTINGTON STATION, NY 11746
(40.835182, -73.376559)",17895
"4856","DESPANA","New York","A",2018-06-27,"86-17 NORTHERN BLVD CORP","408 BROOME ST #","NEW YORK","NY",10013,"","","408 BROOME ST #
NEW YORK, NY 10013
(40.721064, -73.998196)",13150
"4857","DESPANA BRAND FOODS","Queens","A",2018-09-20,"8617 NORTHERN BLVD CORP","86-17 NORTHERN BLVD","JACKSON HEIGHTS","NY",11372,"","","86-17 NORTHERN BLVD
JACKSON HEIGHTS, NY 11372
(40.756069, -73.88096)",3937
"4858","DESTINY DELI GROCERY","Bronx","A",2019-02-05,"DESTINY DELI GROCERY CORP","15 MARCY PLACE","BRONX","NY",10452,"","","15 MARCY PLACE
BRONX, NY 10452
(40.838794, -73.91811)",6453
"4859","DEUCE DELI & GROCERY","Albany","A",2018-08-06,"NAGI MASTAFA","329 2ND AVE","ALBANY","NY",12209,"","","329 2ND AVE
ALBANY, NY 12209
(42.639113, -73.77784)",6347
"4860","DEUCEL","Westchester","A",2018-11-05,"DEUCEL CORPORATION","178 STEVENS AVE","MOUNT VERNON","NY",10550,"","","178 STEVENS AVE
MOUNT VERNON, NY 10550
(40.910818, -73.842674)",18617
"4861","DEVEAUX MINI MART","Niagara","A",2018-07-13,"DEVEAUX PLAZA INC","2649 MAIN ST","NIAGARA FALLS","NY",14305,"","","2649 MAIN ST
NIAGARA FALLS, NY 14305
(43.112894, -79.055371)",13832
"4862","DEVI GROCERY DELI","Kings","A",2019-02-15,"DEVI GROCERY DELI INC","4023 5TH AVENUE","BROOKLYN","NY",11232,"","","4023 5TH AVENUE
BROOKLYN, NY 11232
(40.650237, -74.004982)",22928
"4863","DEVIL DAVES BLOODY MARY","Fulton","A",2018-10-02,"PAKENAS RYAN J","2469 STATE HWY 30 D","MAYFIELD","NY",12117,"","","2469 STATE HWY 30 D
MAYFIELD, NY 12117
(43.109578, -74.267555)",3869
"4864","DEVINS GARAGE DELI","Essex","A",2018-03-30,"DEVINS GARAGE & DELI LLC","13024 NYS RT 9N","JAY","NY",12941,"","","13024 NYS RT 9N
JAY, NY 12941
(44.378051, -73.724653)",8789
"4865","DEVOE GROCERY STORE","Bronx","A",2018-05-01,"DEVOE GROCERY STORE INC","342 DEVOE AVE","BRONX","NY",10460,"","","342 DEVOE AVE
BRONX, NY 10460
(40.839346, -73.877798)",7160
"4866","DEVOES RAINBOW ORCHARDS","Saratoga","A",2018-07-27,"DEVOE LAWRENCE W","1569 RT 9","CLIFTON PARK","NY",12065,"","","1569 RT 9
CLIFTON PARK, NY 12065
(42.847941, -73.75234)",5226
